,Zomato URL,Name of Restaurant,Address,Cuisine,Price for 2,Dining Rating,Dining Rating Count
0,https://www.zomato.com/chennai/yaa-mohaideen-briyani-1-pallavaram,YAA MOHAIDEEN BRIYANI," 336 & 338, Main Road, Pallavaram, Chennai",['Biryani'],500.0,4.3,1500
1,https://www.zomato.com/chennai/sukkubhai-biriyani-alandur,SUKKUBHAI BIRIYANI," New 14, Old 11/3Q, Railway Station Road, MKN Road, Near Antony Church, Alandur, Chennai","['Biryani', ' North Indian', ' Mughlai', ' Desserts', ' Beverages']",1000.0,4.4,3059
2,https://www.zomato.com/chennai/ss-hyderabad-biryani-kodambakkam,SS HYDERABAD BIRYANI," 98/339, Arcot Road, Opposite Gokulam Chit Funds, Kodambakkam, Chennai","['Biryani', ' North Indian', ' Chinese', ' Arabian']",500.0,4.3,1361
3,https://www.zomato.com/chennai/kfc-perambur,KFC," 10, Periyar Nagar, 70 Feet Road, Near Sheeba Hospital, Perambur, Chennai","['Burger', ' Fast Food', ' Finger Food', ' Beverages']",500.0,4.0,1101
4,https://www.zomato.com/chennai/tasty-kitchen-perambur,TASTY KITCHEN," 135B, SRP Colony, Peravallur, Near Perambur, Chennai","['Chinese', ' Biryani', ' North Indian', ' Chettinad', ' Arabian']",450.0,4.2,617
5,https://www.zomato.com/chennai/dine-n-fun-medavakkam,DINE N FUN," Opposite Forest Office, Tambaram Main Road, Santhosapuram, Medavakkam, Chennai","['South Indian', ' North Indian', ' Chinese']",450.0,4.1,567
6,https://www.zomato.com/chennai/cafe-arabica-anna-nagar-east,CAFE ARABICA," 3, E Block, 3rd Avenue, Anna Nagar East, Chennai","['Cafe', ' Fast Food']",800.0,4.3,668
7,https://www.zomato.com/chennai/savoury-sea-shell-anna-nagar-east,SAVOURY SEA SHELL," 3, E Block, 3rd Avenue, Anna Nagar East, Chennai","['Arabian', ' Chinese', ' North Indian', ' Lebanese', ' Salad']",1400.0,4.2,2564
8,https://www.zomato.com/chennai/sangeetha-veg-restaurant-t-nagar,SANGEETHA VEG RESTAURANT," 102/82, GN Chetty Road, T. Nagar, Chennai","['South Indian', ' North Indian', ' Chinese', ' Chettinad', ' Desserts', ' Beverages']",800.0,4.4,1578
9,https://www.zomato.com/chennai/mcdonalds-velachery,MCDONALD'S," 330/12, Grand Arcade, Dr Seetharaman Nagar, Velachery Tambaram Road, Velachery, Chennai","['Burger', ' Fast Food']",500.0,3.9,743
10,https://www.zomato.com/chennai/kovai-alankar-vilas-anna-nagar-east,KOVAI ALANKAR VILAS," AC 3, 2nd Avenue, Anna Nagar East, Chennai .",['South Indian'],700.0,4.4,961
11,https://www.zomato.com/chennai/hotel-al-buhari-vadapalani,HOTEL AL BUHARI," 81, Opposite AVM Theater, Arcot Road, Vadapalani, Chennai","['Chinese', ' Chettinad']",350.0,4.0,982
12,https://www.zomato.com/chennai/dindigul-thalappakatti-1-porur,DINDIGUL THALAPPAKATTI," New 21-A, Arcot Road, Porur, Chennai","['South Indian', ' Biryani', ' Chinese', ' North Indian']",900.0,4.3,770
13,https://www.zomato.com/chennai/hotel-paramount-kilpauk,HOTEL PARAMOUNT," 12/5, Ormes Road, Kilpauk, Chennai","['North Indian', ' Chinese', ' Seafood', ' South Indian', ' Biryani']",500.0,4.3,1266
14,https://www.zomato.com/chennai/welcome-hotel-purasavakkam,WELCOME HOTEL," 112/241, Purasawalkam High Road, Purasavakkam, Chennai.","['South Indian', ' Desserts', ' Beverages']",300.0,4.5,1094
15,https://www.zomato.com/chennai/arab-street-ashok-nagar,ARAB STREET," 101, 4th Avenue, Ward 133, Ashok Nagar, Chennai","['Arabian', ' Biryani', ' Chinese', ' North Indian', ' Italian']",800.0,4.1,1363
16,https://www.zomato.com/chennai/abids-chetpet,ABID'S," 21, Spurtank Road, Chetpet, Chennai","['Seafood', ' Biryani', ' Hyderabadi', ' Arabian', ' North Indian', ' Chinese', ' Kerala']",1200.0,4.2,742
17,https://www.zomato.com/chennai/wire-room-bar-kitchen-velachery,WIRE ROOM BAR & KITCHEN," 142, Phoenix Marketcity, New NGO Colony, Velachery Road, Indira Gandhi Nagar, Velachery, Chennai","['Continental', ' Asian']",2000.0,4.1,354
18,https://www.zomato.com/chennai/malabar-biriyani-center-aminijikarai,MALABAR BIRIYANI CENTER," 132/89, Nelson Manickam Road, Mehtha Nagar, Aminijikarai, Chennai","['Kerala', ' Chinese', ' North Indian', ' Biryani']",450.0,4.1,660
19,https://www.zomato.com/chennai/velidis-ramapuram,VELIDIS," 3/88, Mount Poonamallee Road, Ramapuram, Chennai","['Andhra', ' Biryani', ' North Indian']",500.0,4.2,802
20,https://www.zomato.com/chennai/mami-tiffen-stall-mylapore,MAMI TIFFEN STALL," 7, Pitchupillai Street, Near Kapaleeshwarar Temple, Mylapore, Chennai","['South Indian', ' North Indian', ' Chinese', ' Street Food']",400.0,4.3,578
21,https://www.zomato.com/chennai/supriya-andhra-restaurant-1-thuraipakkam,SUPRIYA ANDHRA RESTAURANT," 5/349, Rajiv Gandhi Salai, OMR, Thuraipakkam, Chennai","['Biryani', ' North Indian', ' Chinese']",650.0,4.2,1992
22,https://www.zomato.com/chennai/bff-2-0-ra-puram,BFF 2.0," 80/29, 2nd Main Road, RA Puram, Chennai","['North Indian', ' Continental', ' Italian']",1500.0,4.2,464
23,https://www.zomato.com/chennai/eating-circles-alwarpet,EATING CIRCLES," 6, CP Ramaswamy Road, Alwarpet, Chennai",['South Indian'],250.0,4.7,782
24,https://www.zomato.com/chennai/salem-rr-briyani-unavagam-velachery,SALEM RR BRIYANI UNAVAGAM," 166, 100 Feet Road, Ganapathi Nagar, Velachery, Chennai","['Biryani', ' Chinese', ' North Indian', ' Seafood', ' Beverages']",550.0,4.2,1180
25,https://www.zomato.com/chennai/v4-midnight-dhabba-mogappair,V4 MIDNIGHT DHABBA," 22, Nolambur Service Road, Opposite KG Signature City, Mogappair West, Chennai","['North Indian', ' Mughlai']",550.0,4.3,1139
26,https://www.zomato.com/chennai/bakya-veg-restaurant-west-mambalam,BAKYA VEG RESTAURANT," 20, Jaishankar Street, Near Ayodhya Mandapam, West Mambalam, Chennai","['South Indian', ' North Indian', ' Chinese']",400.0,4.2,457
27,https://www.zomato.com/chennai/midnight-madness-adyar,MIDNIGHT MADNESS," 1\/1, F-3, 1st Floor, Sindhuja Complex, 29th Cross Street, Indira Nagar, Adyar, Chennai",['Italian'],450.0,4.1,625
28,https://www.zomato.com/chennai/hotel-crescent-nungambakkam,HOTEL CRESCENT," 309, Valluvar Kottam High Road, Nungambakkam, Chennai","['Chettinad', ' Chinese', ' North Indian', ' Kebab', ' Biryani']",500.0,4.3,1030
29,https://www.zomato.com/chennai/zaitoon-royapettah,ZAITOON," 35, Woods Road., Royapettah, Chennai","['North Indian', ' Arabian', ' Chinese']",900.0,4.1,1118
30,https://www.zomato.com/chennai/nithya-amirtham-mylapore,NITHYA AMIRTHAM," 39, North Mada Street, Near Kapaleeswarar Temple, Mylapore, Chennai","['South Indian', ' North Indian', ' Chinese']",500.0,4.2,403
31,https://www.zomato.com/chennai/shri-balaajee-bhavan-chromepet,SHRI BALAAJEE BHAVAN," 412/07, Thoraipakam Road Over Bridge, Chromepet, Chennai","['South Indian', ' North Indian']",300.0,4.3,602
32,https://www.zomato.com/chennai/kakada-ramprasad-kilpauk,KAKADA RAMPRASAD," Ormes Road, Sylvan Lodge Colony, Kilpauk, Chennai","['Mithai', ' Street Food', ' North Indian']",450.0,4.3,455
33,https://www.zomato.com/chennai/rasavid-1-velachery,RASAVID," 55 C, Velachery By-Pass Road, Sankaran Avenue, Velachery, Chennai","['Andhra', ' Hyderabadi']",800.0,3.9,350
