Zomato URL,Name of Restaurant,Address,Cuisine,Price for 2,Dining Rating,Dining Rating Count
https://www.zomato.com/chennai/akbar-biriyani-pallikaranai,AKBAR BIRIYANI,"Velachery Main Road, Opposite Balaji Dental College, Pallikaranai, Chennai","['North Indian', ' Chinese', ' Arabian']",250,2.9,5
https://www.zomato.com/chennai/bobacha-1-perungudi,BOBACHA,"40, SP Infocity, MGR Salai, Perungudi, Chennai","['Beverages', ' Desserts', ' Bubble Tea']",300,3.7,27
https://www.zomato.com/chennai/burger-walla-dms-foods-palavakkam,BURGER WALLA DMS FOODS,"2/183, Periyar Salai, Krishna Nagar, Palavakkam, Chennai","['Fast Food', ' Street Food', ' North Indian']",200,2.0,4
https://www.zomato.com/chennai/chaat-adyar-adyar,CHAAT @ ADYAR,"28 B, 1st Main Road, Shastri Nagar, Adyar, Chennai","['North Indian', ' Chinese', ' Street Food']",200,3.6,153
https://www.zomato.com/chennai/esait-tiffen-centre-tambaram,ESAIT TIFFEN CENTRE,"96, Gandhi Road, Tambaram, Chennai","['South Indian', ' Chinese']",200,3.6,65
https://www.zomato.com/chennai/esthell-multicuisine-adyar,ESTHELL MULTICUISINE,"1, Royal Enclave, Besant Avenue Road, Adyar, Chennai","['Mexican', ' Italian', ' North Indian']",1600,3.8,81
https://www.zomato.com/chennai/firdouse-1-triplicane,FIRDOUSE,"307, Triplicane High Road, Triplicane, Chennai","['North Indian', ' Mughlai', ' Chinese', ' Chettinad']",800,3.7,528
https://www.zomato.com/chennai/glacies-crepito-navallur,GLACIES CREPITO,"92, OMR Food Street, Navallur, Chennai",['Beverages'],400,3.6,64
https://www.zomato.com/chennai/godavari-andhra-mess-gst-road,GODAVARI ANDHRA MESS,"1, Kamarajar High Road, Near Railway Gate, Perungalathur, GST Road, Chennai",['Andhra'],200,3.9,128
https://www.zomato.com/chennai/golden-sun-restaurant-1-mahabalipuram,GOLDEN SUN RESTAURANT,"Golden Sun Resort, 59, Kovalam Road, Mahabalipuram, Chennai","['Continental', ' North Indian', ' South Indian']",800,2.3,13
https://www.zomato.com/chennai/hotel-shivasakthi-ambattur,HOTEL SHIVASAKTHI,"R71/3, 1st Main Road, TNHB, Ayapakkam, Ambattur, Chennai","['Arabian', ' Biryani', ' Chinese', ' Fast Food', ' Kebab']",300,3.5,29
https://www.zomato.com/chennai/immanuel-bakery-thiruvanmiyur,IMMANUEL BAKERY,"2nd Avenue, Thiruvalluvar Nagar, Thiruvanmiyur, Chennai",['Bakery'],200,3.3,6
https://www.zomato.com/chennai/juskhana-kilpauk,JUSKHANA,"126, Halls Road, Kilpauk, Chennai",['North Indian'],300,3.1,26
https://www.zomato.com/chennai/keb-sholinganallur,KEB,"2, Anna Street, Near Sholing Residency, Sholinganallur, Chennai","['North Indian', ' Chinese']",300,3.4,29
https://www.zomato.com/chennai/lunchpad-restaurant-egatoor,LUNCHPAD RESTAURANT,"34, OMR, Egatoor, Chennai","['Kerala', ' South Indian', ' North Indian']",400,3.1,22
https://www.zomato.com/chennai/madras-curry-cup-nungambakkam,MADRAS CURRY CUP,"A 15, Ground Floor Parson Complex, Kodambakkam High Road, Nungambakkam, Chennai","['Healthy Food', ' South Indian', ' Chinese', ' Fast Food', ' Beverages']",450,3.7,220
https://www.zomato.com/chennai/meat-and-eat-1-pallikaranai,MEAT AND  EAT,"Valachery Road, Pallikaranai, Chennai",['Fast Food'],400,3.6,49
https://www.zomato.com/chennai/mingx-kittchenz-neelangarai,MINGX KITTCHENZ,"63, Vaithyalingam Salai, 3rd Cross Street, Neelangarai, Chennai",['South Indian'],250,3.0,28
https://www.zomato.com/chennai/mirchi-indian-bistro-perungudi,MIRCHI INDIAN BISTRO,"4/713, Opposite RMZ Business Park, Perungudi, Chennai","['North Indian', ' Biryani', ' Chinese']",500,4.0,122
https://www.zomato.com/chennai/new-southern-biriyani-centre-and-fast-food-shenoy-nagar,NEW SOUTHERN BIRIYANI CENTRE AND FAST FOOD,"2/24, Bulla Avenue, Shenoy Nagar, Chennai","['Biryani', ' Chinese', ' North Indian']",350,3.9,5
https://www.zomato.com/chennai/nights-kitchen-kolathur,NIGHTS KITCHEN,"29, South Mada Street, Kolathur, Chennai","['Chinese', ' North Indian', ' BBQ', ' Biryani', ' Chettinad']",500,3.6,49
https://www.zomato.com/chennai/oh-my-grill-east-coast-road-ecr,OH MY GRILL,"Paandian Salai, Neelankarai, East Coast Road (ECR), Chennai",['Arabian'],350,3.2,24
https://www.zomato.com/chennai/padi-hyderabad-briyani-ambattur,PADI HYDERABAD BRIYANI,"818/A, M.T.H Road, Padi, Ambattur, Chennai","['Biryani', ' Chinese']",450,3.5,28
https://www.zomato.com/chennai/royal-ice-cream-avadi,ROYAL ICE CREAM,"1, MTH Road, Opposite Immaculate School, Avadi, Chennai","['Ice Cream', ' Desserts']",100,3.2,8
https://www.zomato.com/chennai/rr-biryani-royapettah,RR BIRYANI,"1, Peters Road, Peters Colony, Royapettah, Chennai","['Biryani', ' Chinese', ' Mughlai']",300,3.1,46
https://www.zomato.com/chennai/sky-foods-kelambakkam,SKY FOODS,"3/963, Kelambakkam Grammam, Thiruvallur Street, Urapakkam, Kelambakkam, Chennai","['Fast Food', ' Beverages']",200,3.1,14
https://www.zomato.com/chennai/thanjai-biryani-madipakkam,THANJAI BIRYANI,"6, Thanthai Periyar Nagar, Kaiveli Signal, Madipakkam, Chennai","['Biryani', ' South Indian', ' Chinese']",300,3.2,28
https://www.zomato.com/chennai/wow-kitchen-vandalur,WOW KITCHEN,"3/709B, Kannappar, 6th Street, Mannivakka Extension, Swami Vivekanandhar Nagar, Urapakkam, Vandalur, Chennai","['South Indian', ' North Indian', ' Tamil', ' Chinese', ' Fast Food', ' Beverages']",350,3.1,36
https://www.zomato.com/chennai/a-aa-e-ee-soup-shop-karapakkam,A AA E EE SOUP SHOP,"2/106 M, Murugan, Gangaiamman Koil Street, Karapakkam, Chennai","['Sandwich', ' South Indian']",150,3.5,16
https://www.zomato.com/chennai/aasife-biriyani-1-red-hills,AASIFE BIRIYANI,"254, GNT Road, Near Axis Bank, Red Hills, Chennai","['Biryani', ' North Indian', ' BBQ', ' Mughlai', ' Beverages']",750,3.9,133
https://www.zomato.com/chennai/anandham-kitchen-velachery,ANANDHAM KITCHEN,"2/22, MGR Nagar, 12th Main Road, Velachery, Chennai",['South Indian'],200,2.0,4
https://www.zomato.com/chennai/banarasiwala-madipakkam,BANARASIWALA,"20, Arul Jyothi Road, Madipakkam, Chennai",['Fast Food'],250,3.3,7
